"w1","w2","w3","w4","w5","string","cats"
"john","barked","yesterday","the","dog","john barked yesterday the dog","pn itv sadv d cn"
"yesterday","chased","quickly","the","dog","yesterday chased quickly the dog","sadv tv adv d cn"
"quickly","chased","quickly","the","dog","quickly chased quickly the dog","adv tv adv d cn"
"dog","chased","quickly","the","dog","dog chased quickly the dog","cn tv adv d cn"
"water","chased","quickly","the","dog","water chased quickly the dog","mn tv adv d cn"
"john","chased","quickly","the","dog","john chased quickly the dog","pn tv adv d cn"
"yesterday","barked","quickly","the","dog","yesterday barked quickly the dog","sadv itv adv d cn"
"quickly","barked","quickly","the","dog","quickly barked quickly the dog","adv itv adv d cn"
"dog","barked","quickly","the","dog","dog barked quickly the dog","cn itv adv d cn"
"water","barked","quickly","the","dog","water barked quickly the dog","mn itv adv d cn"
"john","barked","quickly","the","dog","john barked quickly the dog","pn itv adv d cn"
"yesterday","chased","water","the","dog","yesterday chased water the dog","sadv tv mn d cn"
"quickly","chased","water","the","dog","quickly chased water the dog","adv tv mn d cn"
"dog","chased","water","the","dog","dog chased water the dog","cn tv mn d cn"
"water","chased","water","the","dog","water chased water the dog","mn tv mn d cn"
"john","chased","water","the","dog","john chased water the dog","pn tv mn d cn"
"yesterday","chased","john","the","dog","yesterday chased john the dog","sadv tv pn d cn"
"quickly","chased","john","the","dog","quickly chased john the dog","adv tv pn d cn"
"dog","chased","john","the","dog","dog chased john the dog","cn tv pn d cn"
"water","chased","john","the","dog","water chased john the dog","mn tv pn d cn"
"john","chased","john","the","dog","john chased john the dog","pn tv pn d cn"
"quickly","yesterday","chased","the","dog","quickly yesterday chased the dog","adv sadv tv d cn"
"dog","yesterday","chased","the","dog","dog yesterday chased the dog","cn sadv tv d cn"
"water","yesterday","chased","the","dog","water yesterday chased the dog","mn sadv tv d cn"
"john","yesterday","chased","the","dog","john yesterday chased the dog","pn sadv tv d cn"
"yesterday","quickly","chased","the","dog","yesterday quickly chased the dog","sadv adv tv d cn"
"dog","quickly","chased","the","dog","dog quickly chased the dog","cn adv tv d cn"
"water","quickly","chased","the","dog","water quickly chased the dog","mn adv tv d cn"
"john","quickly","chased","the","dog","john quickly chased the dog","pn adv tv d cn"
"the","dog","chased","the","dog","the dog chased the dog","d cn tv d cn"
"with","dog","chased","the","dog","with dog chased the dog","p cn tv d cn"
"yesterday","dog","chased","the","dog","yesterday dog chased the dog","sadv cn tv d cn"
"quickly","dog","chased","the","dog","quickly dog chased the dog","adv cn tv d cn"
"water","dog","chased","the","dog","water dog chased the dog","mn cn tv d cn"
"the","water","chased","the","dog","the water chased the dog","d mn tv d cn"
"with","water","chased","the","dog","with water chased the dog","p mn tv d cn"
"yesterday","water","chased","the","dog","yesterday water chased the dog","sadv mn tv d cn"
"quickly","water","chased","the","dog","quickly water chased the dog","adv mn tv d cn"
"dog","water","chased","the","dog","dog water chased the dog","cn mn tv d cn"
"john","water","chased","the","dog","john water chased the dog","pn mn tv d cn"
"the","john","chased","the","dog","the john chased the dog","d pn tv d cn"
"with","john","chased","the","dog","with john chased the dog","p pn tv d cn"
"yesterday","john","chased","the","dog","yesterday john chased the dog","sadv pn tv d cn"
"quickly","john","chased","the","dog","quickly john chased the dog","adv pn tv d cn"
"dog","john","chased","the","dog","dog john chased the dog","cn pn tv d cn"
"water","john","chased","the","dog","water john chased the dog","mn pn tv d cn"
"yesterday","barked","chased","the","dog","yesterday barked chased the dog","sadv itv tv d cn"
"quickly","barked","chased","the","dog","quickly barked chased the dog","adv itv tv d cn"
"dog","barked","chased","the","dog","dog barked chased the dog","cn itv tv d cn"
"water","barked","chased","the","dog","water barked chased the dog","mn itv tv d cn"
"john","barked","chased","the","dog","john barked chased the dog","pn itv tv d cn"
"the","dog","chased","with","dog","the dog chased with dog","d cn tv p cn"
"the","water","chased","with","dog","the water chased with dog","d mn tv p cn"
"the","john","chased","with","dog","the john chased with dog","d pn tv p cn"
"the","dog","barked","with","dog","the dog barked with dog","d cn itv p cn"
"the","water","barked","with","dog","the water barked with dog","d mn itv p cn"
"the","john","barked","with","dog","the john barked with dog","d pn itv p cn"
"the","dog","chased","yesterday","dog","the dog chased yesterday dog","d cn tv sadv cn"
"the","water","chased","yesterday","dog","the water chased yesterday dog","d mn tv sadv cn"
"the","john","chased","yesterday","dog","the john chased yesterday dog","d pn tv sadv cn"
"the","dog","barked","yesterday","dog","the dog barked yesterday dog","d cn itv sadv cn"
"the","water","barked","yesterday","dog","the water barked yesterday dog","d mn itv sadv cn"
"the","john","barked","yesterday","dog","the john barked yesterday dog","d pn itv sadv cn"
"the","dog","chased","quickly","dog","the dog chased quickly dog","d cn tv adv cn"
"the","water","chased","quickly","dog","the water chased quickly dog","d mn tv adv cn"
"the","john","chased","quickly","dog","the john chased quickly dog","d pn tv adv cn"
"the","dog","barked","quickly","dog","the dog barked quickly dog","d cn itv adv cn"
"the","water","barked","quickly","dog","the water barked quickly dog","d mn itv adv cn"
"the","john","barked","quickly","dog","the john barked quickly dog","d pn itv adv cn"
"yesterday","chased","the","water","dog","yesterday chased the water dog","sadv tv d mn cn"
"quickly","chased","the","water","dog","quickly chased the water dog","adv tv d mn cn"
"dog","chased","the","water","dog","dog chased the water dog","cn tv d mn cn"
"water","chased","the","water","dog","water chased the water dog","mn tv d mn cn"
"john","chased","the","water","dog","john chased the water dog","pn tv d mn cn"
"the","dog","chased","water","dog","the dog chased water dog","d cn tv mn cn"
"the","water","chased","water","dog","the water chased water dog","d mn tv mn cn"
"the","john","chased","water","dog","the john chased water dog","d pn tv mn cn"
"dog","chased","yesterday","the","water","dog chased yesterday the water","cn tv sadv d mn"
"dog","barked","yesterday","the","water","dog barked yesterday the water","cn itv sadv d mn"
"dog","chased","quickly","the","water","dog chased quickly the water","cn tv adv d mn"
"dog","barked","quickly","the","water","dog barked quickly the water","cn itv adv d mn"
"dog","chased","water","the","water","dog chased water the water","cn tv mn d mn"
"dog","chased","john","the","water","dog chased john the water","cn tv pn d mn"
"dog","yesterday","chased","the","water","dog yesterday chased the water","cn sadv tv d mn"
"dog","quickly","chased","the","water","dog quickly chased the water","cn adv tv d mn"
"the","dog","chased","the","water","the dog chased the water","d cn tv d mn"
"with","dog","chased","the","water","with dog chased the water","p cn tv d mn"
"yesterday","dog","chased","the","water","yesterday dog chased the water","sadv cn tv d mn"
"quickly","dog","chased","the","water","quickly dog chased the water","adv cn tv d mn"
"water","dog","chased","the","water","water dog chased the water","mn cn tv d mn"
"dog","water","chased","the","water","dog water chased the water","cn mn tv d mn"
"dog","john","chased","the","water","dog john chased the water","cn pn tv d mn"
"dog","barked","chased","the","water","dog barked chased the water","cn itv tv d mn"
"yesterday","chased","yesterday","with","water","yesterday chased yesterday with water","sadv tv sadv p mn"
"quickly","chased","yesterday","with","water","quickly chased yesterday with water","adv tv sadv p mn"
"water","chased","yesterday","with","water","water chased yesterday with water","mn tv sadv p mn"
"john","chased","yesterday","with","water","john chased yesterday with water","pn tv sadv p mn"
"yesterday","barked","yesterday","with","water","yesterday barked yesterday with water","sadv itv sadv p mn"
"quickly","barked","yesterday","with","water","quickly barked yesterday with water","adv itv sadv p mn"
"water","barked","yesterday","with","water","water barked yesterday with water","mn itv sadv p mn"
"john","barked","yesterday","with","water","john barked yesterday with water","pn itv sadv p mn"
"yesterday","chased","quickly","with","water","yesterday chased quickly with water","sadv tv adv p mn"
"quickly","chased","quickly","with","water","quickly chased quickly with water","adv tv adv p mn"
"water","chased","quickly","with","water","water chased quickly with water","mn tv adv p mn"
"john","chased","quickly","with","water","john chased quickly with water","pn tv adv p mn"
"yesterday","barked","quickly","with","water","yesterday barked quickly with water","sadv itv adv p mn"
"quickly","barked","quickly","with","water","quickly barked quickly with water","adv itv adv p mn"
"water","barked","quickly","with","water","water barked quickly with water","mn itv adv p mn"
"john","barked","quickly","with","water","john barked quickly with water","pn itv adv p mn"
"yesterday","chased","water","with","water","yesterday chased water with water","sadv tv mn p mn"
"quickly","chased","water","with","water","quickly chased water with water","adv tv mn p mn"
"water","chased","water","with","water","water chased water with water","mn tv mn p mn"
"john","chased","water","with","water","john chased water with water","pn tv mn p mn"
"yesterday","chased","john","with","water","yesterday chased john with water","sadv tv pn p mn"
"quickly","chased","john","with","water","quickly chased john with water","adv tv pn p mn"
"water","chased","john","with","water","water chased john with water","mn tv pn p mn"
"john","chased","john","with","water","john chased john with water","pn tv pn p mn"
"quickly","yesterday","chased","with","water","quickly yesterday chased with water","adv sadv tv p mn"
"water","yesterday","chased","with","water","water yesterday chased with water","mn sadv tv p mn"
"john","yesterday","chased","with","water","john yesterday chased with water","pn sadv tv p mn"
"yesterday","quickly","chased","with","water","yesterday quickly chased with water","sadv adv tv p mn"
"water","quickly","chased","with","water","water quickly chased with water","mn adv tv p mn"
"john","quickly","chased","with","water","john quickly chased with water","pn adv tv p mn"
"the","dog","chased","with","water","the dog chased with water","d cn tv p mn"
"with","water","chased","with","water","with water chased with water","p mn tv p mn"
"yesterday","water","chased","with","water","yesterday water chased with water","sadv mn tv p mn"
"quickly","water","chased","with","water","quickly water chased with water","adv mn tv p mn"
"john","water","chased","with","water","john water chased with water","pn mn tv p mn"
"with","john","chased","with","water","with john chased with water","p pn tv p mn"
"yesterday","john","chased","with","water","yesterday john chased with water","sadv pn tv p mn"
"quickly","john","chased","with","water","quickly john chased with water","adv pn tv p mn"
"water","john","chased","with","water","water john chased with water","mn pn tv p mn"
"yesterday","barked","chased","with","water","yesterday barked chased with water","sadv itv tv p mn"
"quickly","barked","chased","with","water","quickly barked chased with water","adv itv tv p mn"
"water","barked","chased","with","water","water barked chased with water","mn itv tv p mn"
"john","barked","chased","with","water","john barked chased with water","pn itv tv p mn"
"quickly","yesterday","barked","with","water","quickly yesterday barked with water","adv sadv itv p mn"
"water","yesterday","barked","with","water","water yesterday barked with water","mn sadv itv p mn"
"john","yesterday","barked","with","water","john yesterday barked with water","pn sadv itv p mn"
"yesterday","quickly","barked","with","water","yesterday quickly barked with water","sadv adv itv p mn"
"water","quickly","barked","with","water","water quickly barked with water","mn adv itv p mn"
"john","quickly","barked","with","water","john quickly barked with water","pn adv itv p mn"
"the","dog","barked","with","water","the dog barked with water","d cn itv p mn"
"with","water","barked","with","water","with water barked with water","p mn itv p mn"
"yesterday","water","barked","with","water","yesterday water barked with water","sadv mn itv p mn"
"quickly","water","barked","with","water","quickly water barked with water","adv mn itv p mn"
"john","water","barked","with","water","john water barked with water","pn mn itv p mn"
"with","john","barked","with","water","with john barked with water","p pn itv p mn"
"yesterday","john","barked","with","water","yesterday john barked with water","sadv pn itv p mn"
"quickly","john","barked","with","water","quickly john barked with water","adv pn itv p mn"
"water","john","barked","with","water","water john barked with water","mn pn itv p mn"
"yesterday","chased","barked","with","water","yesterday chased barked with water","sadv tv itv p mn"
"quickly","chased","barked","with","water","quickly chased barked with water","adv tv itv p mn"
"water","chased","barked","with","water","water chased barked with water","mn tv itv p mn"
"john","chased","barked","with","water","john chased barked with water","pn tv itv p mn"
"yesterday","chased","quickly","yesterday","water","yesterday chased quickly yesterday water","sadv tv adv sadv mn"
"quickly","chased","quickly","yesterday","water","quickly chased quickly yesterday water","adv tv adv sadv mn"
"water","chased","quickly","yesterday","water","water chased quickly yesterday water","mn tv adv sadv mn"
"john","chased","quickly","yesterday","water","john chased quickly yesterday water","pn tv adv sadv mn"
"yesterday","barked","quickly","yesterday","water","yesterday barked quickly yesterday water","sadv itv adv sadv mn"
"quickly","barked","quickly","yesterday","water","quickly barked quickly yesterday water","adv itv adv sadv mn"
"water","barked","quickly","yesterday","water","water barked quickly yesterday water","mn itv adv sadv mn"
"john","barked","quickly","yesterday","water","john barked quickly yesterday water","pn itv adv sadv mn"
"yesterday","chased","water","yesterday","water","yesterday chased water yesterday water","sadv tv mn sadv mn"
"quickly","chased","water","yesterday","water","quickly chased water yesterday water","adv tv mn sadv mn"
"water","chased","water","yesterday","water","water chased water yesterday water","mn tv mn sadv mn"
"john","chased","water","yesterday","water","john chased water yesterday water","pn tv mn sadv mn"
"yesterday","chased","john","yesterday","water","yesterday chased john yesterday water","sadv tv pn sadv mn"
"quickly","chased","john","yesterday","water","quickly chased john yesterday water","adv tv pn sadv mn"
"water","chased","john","yesterday","water","water chased john yesterday water","mn tv pn sadv mn"
"john","chased","john","yesterday","water","john chased john yesterday water","pn tv pn sadv mn"
"quickly","yesterday","chased","yesterday","water","quickly yesterday chased yesterday water","adv sadv tv sadv mn"
"water","yesterday","chased","yesterday","water","water yesterday chased yesterday water","mn sadv tv sadv mn"
"john","yesterday","chased","yesterday","water","john yesterday chased yesterday water","pn sadv tv sadv mn"
"yesterday","quickly","chased","yesterday","water","yesterday quickly chased yesterday water","sadv adv tv sadv mn"
"water","quickly","chased","yesterday","water","water quickly chased yesterday water","mn adv tv sadv mn"
"john","quickly","chased","yesterday","water","john quickly chased yesterday water","pn adv tv sadv mn"
"the","dog","chased","yesterday","water","the dog chased yesterday water","d cn tv sadv mn"
"with","water","chased","yesterday","water","with water chased yesterday water","p mn tv sadv mn"
"yesterday","water","chased","yesterday","water","yesterday water chased yesterday water","sadv mn tv sadv mn"
"quickly","water","chased","yesterday","water","quickly water chased yesterday water","adv mn tv sadv mn"
"john","water","chased","yesterday","water","john water chased yesterday water","pn mn tv sadv mn"
"with","john","chased","yesterday","water","with john chased yesterday water","p pn tv sadv mn"
"yesterday","john","chased","yesterday","water","yesterday john chased yesterday water","sadv pn tv sadv mn"
"quickly","john","chased","yesterday","water","quickly john chased yesterday water","adv pn tv sadv mn"
"water","john","chased","yesterday","water","water john chased yesterday water","mn pn tv sadv mn"
"yesterday","barked","chased","yesterday","water","yesterday barked chased yesterday water","sadv itv tv sadv mn"
"quickly","barked","chased","yesterday","water","quickly barked chased yesterday water","adv itv tv sadv mn"
"water","barked","chased","yesterday","water","water barked chased yesterday water","mn itv tv sadv mn"
"john","barked","chased","yesterday","water","john barked chased yesterday water","pn itv tv sadv mn"
"quickly","yesterday","barked","yesterday","water","quickly yesterday barked yesterday water","adv sadv itv sadv mn"
"water","yesterday","barked","yesterday","water","water yesterday barked yesterday water","mn sadv itv sadv mn"
"john","yesterday","barked","yesterday","water","john yesterday barked yesterday water","pn sadv itv sadv mn"
"yesterday","quickly","barked","yesterday","water","yesterday quickly barked yesterday water","sadv adv itv sadv mn"
"water","quickly","barked","yesterday","water","water quickly barked yesterday water","mn adv itv sadv mn"
"john","quickly","barked","yesterday","water","john quickly barked yesterday water","pn adv itv sadv mn"
"the","dog","barked","yesterday","water","the dog barked yesterday water","d cn itv sadv mn"
"with","water","barked","yesterday","water","with water barked yesterday water","p mn itv sadv mn"
"yesterday","water","barked","yesterday","water","yesterday water barked yesterday water","sadv mn itv sadv mn"
"quickly","water","barked","yesterday","water","quickly water barked yesterday water","adv mn itv sadv mn"
"john","water","barked","yesterday","water","john water barked yesterday water","pn mn itv sadv mn"
"with","john","barked","yesterday","water","with john barked yesterday water","p pn itv sadv mn"
"yesterday","john","barked","yesterday","water","yesterday john barked yesterday water","sadv pn itv sadv mn"
"quickly","john","barked","yesterday","water","quickly john barked yesterday water","adv pn itv sadv mn"
"water","john","barked","yesterday","water","water john barked yesterday water","mn pn itv sadv mn"
"yesterday","chased","barked","yesterday","water","yesterday chased barked yesterday water","sadv tv itv sadv mn"
"quickly","chased","barked","yesterday","water","quickly chased barked yesterday water","adv tv itv sadv mn"
"water","chased","barked","yesterday","water","water chased barked yesterday water","mn tv itv sadv mn"
"john","chased","barked","yesterday","water","john chased barked yesterday water","pn tv itv sadv mn"
"yesterday","chased","yesterday","quickly","water","yesterday chased yesterday quickly water","sadv tv sadv adv mn"
"quickly","chased","yesterday","quickly","water","quickly chased yesterday quickly water","adv tv sadv adv mn"
"water","chased","yesterday","quickly","water","water chased yesterday quickly water","mn tv sadv adv mn"
"john","chased","yesterday","quickly","water","john chased yesterday quickly water","pn tv sadv adv mn"
"yesterday","barked","yesterday","quickly","water","yesterday barked yesterday quickly water","sadv itv sadv adv mn"
"quickly","barked","yesterday","quickly","water","quickly barked yesterday quickly water","adv itv sadv adv mn"
"water","barked","yesterday","quickly","water","water barked yesterday quickly water","mn itv sadv adv mn"
"john","barked","yesterday","quickly","water","john barked yesterday quickly water","pn itv sadv adv mn"
"yesterday","chased","water","quickly","water","yesterday chased water quickly water","sadv tv mn adv mn"
"quickly","chased","water","quickly","water","quickly chased water quickly water","adv tv mn adv mn"
"water","chased","water","quickly","water","water chased water quickly water","mn tv mn adv mn"
"john","chased","water","quickly","water","john chased water quickly water","pn tv mn adv mn"
"yesterday","chased","john","quickly","water","yesterday chased john quickly water","sadv tv pn adv mn"
"quickly","chased","john","quickly","water","quickly chased john quickly water","adv tv pn adv mn"
"water","chased","john","quickly","water","water chased john quickly water","mn tv pn adv mn"
"john","chased","john","quickly","water","john chased john quickly water","pn tv pn adv mn"
"quickly","yesterday","chased","quickly","water","quickly yesterday chased quickly water","adv sadv tv adv mn"
"water","yesterday","chased","quickly","water","water yesterday chased quickly water","mn sadv tv adv mn"
"john","yesterday","chased","quickly","water","john yesterday chased quickly water","pn sadv tv adv mn"
"yesterday","quickly","chased","quickly","water","yesterday quickly chased quickly water","sadv adv tv adv mn"
"water","quickly","chased","quickly","water","water quickly chased quickly water","mn adv tv adv mn"
"john","quickly","chased","quickly","water","john quickly chased quickly water","pn adv tv adv mn"
"the","dog","chased","quickly","water","the dog chased quickly water","d cn tv adv mn"
"with","water","chased","quickly","water","with water chased quickly water","p mn tv adv mn"
"yesterday","water","chased","quickly","water","yesterday water chased quickly water","sadv mn tv adv mn"
"quickly","water","chased","quickly","water","quickly water chased quickly water","adv mn tv adv mn"
"john","water","chased","quickly","water","john water chased quickly water","pn mn tv adv mn"
"with","john","chased","quickly","water","with john chased quickly water","p pn tv adv mn"
"yesterday","john","chased","quickly","water","yesterday john chased quickly water","sadv pn tv adv mn"
"quickly","john","chased","quickly","water","quickly john chased quickly water","adv pn tv adv mn"
"water","john","chased","quickly","water","water john chased quickly water","mn pn tv adv mn"
"yesterday","barked","chased","quickly","water","yesterday barked chased quickly water","sadv itv tv adv mn"
"quickly","barked","chased","quickly","water","quickly barked chased quickly water","adv itv tv adv mn"
"water","barked","chased","quickly","water","water barked chased quickly water","mn itv tv adv mn"
"john","barked","chased","quickly","water","john barked chased quickly water","pn itv tv adv mn"
"quickly","yesterday","barked","quickly","water","quickly yesterday barked quickly water","adv sadv itv adv mn"
"water","yesterday","barked","quickly","water","water yesterday barked quickly water","mn sadv itv adv mn"
"john","yesterday","barked","quickly","water","john yesterday barked quickly water","pn sadv itv adv mn"
"yesterday","quickly","barked","quickly","water","yesterday quickly barked quickly water","sadv adv itv adv mn"
"water","quickly","barked","quickly","water","water quickly barked quickly water","mn adv itv adv mn"
"john","quickly","barked","quickly","water","john quickly barked quickly water","pn adv itv adv mn"
"the","dog","barked","quickly","water","the dog barked quickly water","d cn itv adv mn"
"with","water","barked","quickly","water","with water barked quickly water","p mn itv adv mn"
"yesterday","water","barked","quickly","water","yesterday water barked quickly water","sadv mn itv adv mn"
"quickly","water","barked","quickly","water","quickly water barked quickly water","adv mn itv adv mn"
"john","water","barked","quickly","water","john water barked quickly water","pn mn itv adv mn"
"with","john","barked","quickly","water","with john barked quickly water","p pn itv adv mn"
"yesterday","john","barked","quickly","water","yesterday john barked quickly water","sadv pn itv adv mn"
"quickly","john","barked","quickly","water","quickly john barked quickly water","adv pn itv adv mn"
"water","john","barked","quickly","water","water john barked quickly water","mn pn itv adv mn"
"yesterday","chased","barked","quickly","water","yesterday chased barked quickly water","sadv tv itv adv mn"
"quickly","chased","barked","quickly","water","quickly chased barked quickly water","adv tv itv adv mn"
"water","chased","barked","quickly","water","water chased barked quickly water","mn tv itv adv mn"
"john","chased","barked","quickly","water","john chased barked quickly water","pn tv itv adv mn"
"yesterday","chased","the","dog","water","yesterday chased the dog water","sadv tv d cn mn"
"quickly","chased","the","dog","water","quickly chased the dog water","adv tv d cn mn"
"dog","chased","the","dog","water","dog chased the dog water","cn tv d cn mn"
"water","chased","the","dog","water","water chased the dog water","mn tv d cn mn"
"john","chased","the","dog","water","john chased the dog water","pn tv d cn mn"
"dog","chased","the","john","water","dog chased the john water","cn tv d pn mn"
"yesterday","chased","with","john","water","yesterday chased with john water","sadv tv p pn mn"
"quickly","chased","with","john","water","quickly chased with john water","adv tv p pn mn"
"water","chased","with","john","water","water chased with john water","mn tv p pn mn"
"john","chased","with","john","water","john chased with john water","pn tv p pn mn"
"yesterday","barked","with","john","water","yesterday barked with john water","sadv itv p pn mn"
"quickly","barked","with","john","water","quickly barked with john water","adv itv p pn mn"
"water","barked","with","john","water","water barked with john water","mn itv p pn mn"
"john","barked","with","john","water","john barked with john water","pn itv p pn mn"
"yesterday","chased","yesterday","john","water","yesterday chased yesterday john water","sadv tv sadv pn mn"
"quickly","chased","yesterday","john","water","quickly chased yesterday john water","adv tv sadv pn mn"
"water","chased","yesterday","john","water","water chased yesterday john water","mn tv sadv pn mn"
"john","chased","yesterday","john","water","john chased yesterday john water","pn tv sadv pn mn"
"yesterday","barked","yesterday","john","water","yesterday barked yesterday john water","sadv itv sadv pn mn"
"quickly","barked","yesterday","john","water","quickly barked yesterday john water","adv itv sadv pn mn"
"water","barked","yesterday","john","water","water barked yesterday john water","mn itv sadv pn mn"
"john","barked","yesterday","john","water","john barked yesterday john water","pn itv sadv pn mn"
"yesterday","chased","quickly","john","water","yesterday chased quickly john water","sadv tv adv pn mn"
"quickly","chased","quickly","john","water","quickly chased quickly john water","adv tv adv pn mn"
"water","chased","quickly","john","water","water chased quickly john water","mn tv adv pn mn"
"john","chased","quickly","john","water","john chased quickly john water","pn tv adv pn mn"
"yesterday","barked","quickly","john","water","yesterday barked quickly john water","sadv itv adv pn mn"
"quickly","barked","quickly","john","water","quickly barked quickly john water","adv itv adv pn mn"
"water","barked","quickly","john","water","water barked quickly john water","mn itv adv pn mn"
"john","barked","quickly","john","water","john barked quickly john water","pn itv adv pn mn"
"yesterday","chased","water","john","water","yesterday chased water john water","sadv tv mn pn mn"
"quickly","chased","water","john","water","quickly chased water john water","adv tv mn pn mn"
"water","chased","water","john","water","water chased water john water","mn tv mn pn mn"
"john","chased","water","john","water","john chased water john water","pn tv mn pn mn"
"quickly","yesterday","chased","john","water","quickly yesterday chased john water","adv sadv tv pn mn"
"water","yesterday","chased","john","water","water yesterday chased john water","mn sadv tv pn mn"
"john","yesterday","chased","john","water","john yesterday chased john water","pn sadv tv pn mn"
"yesterday","quickly","chased","john","water","yesterday quickly chased john water","sadv adv tv pn mn"
"water","quickly","chased","john","water","water quickly chased john water","mn adv tv pn mn"
"john","quickly","chased","john","water","john quickly chased john water","pn adv tv pn mn"
"the","dog","chased","john","water","the dog chased john water","d cn tv pn mn"
"with","water","chased","john","water","with water chased john water","p mn tv pn mn"
"yesterday","water","chased","john","water","yesterday water chased john water","sadv mn tv pn mn"
"quickly","water","chased","john","water","quickly water chased john water","adv mn tv pn mn"
"john","water","chased","john","water","john water chased john water","pn mn tv pn mn"
"with","john","chased","john","water","with john chased john water","p pn tv pn mn"
"yesterday","john","chased","john","water","yesterday john chased john water","sadv pn tv pn mn"
"quickly","john","chased","john","water","quickly john chased john water","adv pn tv pn mn"
"water","john","chased","john","water","water john chased john water","mn pn tv pn mn"
"yesterday","barked","chased","john","water","yesterday barked chased john water","sadv itv tv pn mn"
"quickly","barked","chased","john","water","quickly barked chased john water","adv itv tv pn mn"
"water","barked","chased","john","water","water barked chased john water","mn itv tv pn mn"
"john","barked","chased","john","water","john barked chased john water","pn itv tv pn mn"
"yesterday","quickly","yesterday","chased","water","yesterday quickly yesterday chased water","sadv adv sadv tv mn"
"water","quickly","yesterday","chased","water","water quickly yesterday chased water","mn adv sadv tv mn"
"john","quickly","yesterday","chased","water","john quickly yesterday chased water","pn adv sadv tv mn"
"the","dog","yesterday","chased","water","the dog yesterday chased water","d cn sadv tv mn"
"with","water","yesterday","chased","water","with water yesterday chased water","p mn sadv tv mn"
"yesterday","water","yesterday","chased","water","yesterday water yesterday chased water","sadv mn sadv tv mn"
"quickly","water","yesterday","chased","water","quickly water yesterday chased water","adv mn sadv tv mn"
"john","water","yesterday","chased","water","john water yesterday chased water","pn mn sadv tv mn"
"with","john","yesterday","chased","water","with john yesterday chased water","p pn sadv tv mn"
"yesterday","john","yesterday","chased","water","yesterday john yesterday chased water","sadv pn sadv tv mn"
"quickly","john","yesterday","chased","water","quickly john yesterday chased water","adv pn sadv tv mn"
"water","john","yesterday","chased","water","water john yesterday chased water","mn pn sadv tv mn"
"yesterday","chased","yesterday","chased","water","yesterday chased yesterday chased water","sadv tv sadv tv mn"
"quickly","chased","yesterday","chased","water","quickly chased yesterday chased water","adv tv sadv tv mn"
"water","chased","yesterday","chased","water","water chased yesterday chased water","mn tv sadv tv mn"
"john","chased","yesterday","chased","water","john chased yesterday chased water","pn tv sadv tv mn"
"yesterday","barked","yesterday","chased","water","yesterday barked yesterday chased water","sadv itv sadv tv mn"
"quickly","barked","yesterday","chased","water","quickly barked yesterday chased water","adv itv sadv tv mn"
"water","barked","yesterday","chased","water","water barked yesterday chased water","mn itv sadv tv mn"
"john","barked","yesterday","chased","water","john barked yesterday chased water","pn itv sadv tv mn"
"quickly","yesterday","quickly","chased","water","quickly yesterday quickly chased water","adv sadv adv tv mn"
"water","yesterday","quickly","chased","water","water yesterday quickly chased water","mn sadv adv tv mn"
"john","yesterday","quickly","chased","water","john yesterday quickly chased water","pn sadv adv tv mn"
"the","dog","quickly","chased","water","the dog quickly chased water","d cn adv tv mn"
"with","water","quickly","chased","water","with water quickly chased water","p mn adv tv mn"
"yesterday","water","quickly","chased","water","yesterday water quickly chased water","sadv mn adv tv mn"
"quickly","water","quickly","chased","water","quickly water quickly chased water","adv mn adv tv mn"
"john","water","quickly","chased","water","john water quickly chased water","pn mn adv tv mn"
"with","john","quickly","chased","water","with john quickly chased water","p pn adv tv mn"
"yesterday","john","quickly","chased","water","yesterday john quickly chased water","sadv pn adv tv mn"
"quickly","john","quickly","chased","water","quickly john quickly chased water","adv pn adv tv mn"
"water","john","quickly","chased","water","water john quickly chased water","mn pn adv tv mn"
"yesterday","chased","quickly","chased","water","yesterday chased quickly chased water","sadv tv adv tv mn"
"quickly","chased","quickly","chased","water","quickly chased quickly chased water","adv tv adv tv mn"
"water","chased","quickly","chased","water","water chased quickly chased water","mn tv adv tv mn"
"john","chased","quickly","chased","water","john chased quickly chased water","pn tv adv tv mn"
"yesterday","barked","quickly","chased","water","yesterday barked quickly chased water","sadv itv adv tv mn"
"quickly","barked","quickly","chased","water","quickly barked quickly chased water","adv itv adv tv mn"
"water","barked","quickly","chased","water","water barked quickly chased water","mn itv adv tv mn"
"john","barked","quickly","chased","water","john barked quickly chased water","pn itv adv tv mn"
"yesterday","the","dog","chased","water","yesterday the dog chased water","sadv d cn tv mn"
"quickly","the","dog","chased","water","quickly the dog chased water","adv d cn tv mn"
"dog","the","dog","chased","water","dog the dog chased water","cn d cn tv mn"
"water","the","dog","chased","water","water the dog chased water","mn d cn tv mn"
"john","the","dog","chased","water","john the dog chased water","pn d cn tv mn"
"the","water","dog","chased","water","the water dog chased water","d mn cn tv mn"
"dog","the","water","chased","water","dog the water chased water","cn d mn tv mn"
"yesterday","with","water","chased","water","yesterday with water chased water","sadv p mn tv mn"
"quickly","with","water","chased","water","quickly with water chased water","adv p mn tv mn"
"water","with","water","chased","water","water with water chased water","mn p mn tv mn"
"john","with","water","chased","water","john with water chased water","pn p mn tv mn"
"quickly","yesterday","water","chased","water","quickly yesterday water chased water","adv sadv mn tv mn"
"water","yesterday","water","chased","water","water yesterday water chased water","mn sadv mn tv mn"
"john","yesterday","water","chased","water","john yesterday water chased water","pn sadv mn tv mn"
